artistid,songid
6oMuImdp5ZcFhWP0ESe6mG,2UVbBKQOdFAekPTRsnkzcf
0Y5tJX1MQlPlqiwlOH1tJY,2xLMifQCjDGFmkHkpNLD9h
5dHt1vcEm9qb8fCyLcB3HL,4dVpf9jZjcORqGTLUaeYj9
3TVXtAsR1Inumwj472S9r4,2bjwRfXMk4uRgOD9IBYl9h
0VRj0yCOv2FXJNP47XQnx5,2bjwRfXMk4uRgOD9IBYl9h
0Y5tJX1MQlPlqiwlOH1tJY,2bjwRfXMk4uRgOD9IBYl9h
2YZyLoL8N0Wb9xBt1NhZWg,7KXjTSCq5nL1LoYtL7XAwS
73sIBHcqh3Z3NyqHKZ7FOL,0b9oOr2ZgvyQu88wzixux9
137W8MRPWKqSmrBGDBFSop,5A6OHHy73AR5tLxgTc98zz
34Y0ldeyUv7jBvukWOGASO,19gEmPjfqSZT0ulDRfjl0m
4O15NlyKLIASxsJ0PrXPfz,7GX5flRQZVHRAGd6B4TmDO
6oMuImdp5ZcFhWP0ESe6mG,4Km5HrUvYTaSUfiSGPJeQR
4O15NlyKLIASxsJ0PrXPfz,4Km5HrUvYTaSUfiSGPJeQR
360IAlyVv4PCEVjgyMZrxK,5WoaF1B5XIEnWfmb5NZikf
0Y5tJX1MQlPlqiwlOH1tJY,5WoaF1B5XIEnWfmb5NZikf
3TVXtAsR1Inumwj472S9r4,0TlLq3lA83rQOYtrqBqSct
6oMuImdp5ZcFhWP0ESe6mG,7KOlJ92bu51cltsD9KU5I7
0Y5tJX1MQlPlqiwlOH1tJY,6gBFPUFcJLzWGx4lenP6h2
2YZyLoL8N0Wb9xBt1NhZWg,6HZILIRieu8S0iqY8kIKhj
7dGJo4pcD2V6oG8kP0tJRR,60SdxE8apGAxMiRrpbmLY0
6C1ohJrd5VydigQtaGy5Wa,60SdxE8apGAxMiRrpbmLY0
0A0FS04o6zMoto8OKPsDwY,0ZNrc4kNeQYD9koZ3KvCsy
17lzZA2AlOHwCwFALHttmp,0ZNrc4kNeQYD9koZ3KvCsy
0c173mlxpT3dSFRgMO8XPh,0ZNrc4kNeQYD9koZ3KvCsy
0hCNtLu0JehylgoiP8L4Gh,0ZNrc4kNeQYD9koZ3KvCsy
17lzZA2AlOHwCwFALHttmp,1nX9KhK3Fff27SnrIor2Yb
0Y5tJX1MQlPlqiwlOH1tJY,1nX9KhK3Fff27SnrIor2Yb
5fMUXHkw8R8eOP2RNVYEZX,53GO7SC0UJhG8Rcuvf5Zub
5gCRApTajqwbnHHPbr2Fpi,53GO7SC0UJhG8Rcuvf5Zub
