userid,songid
00000000,5eGEc27nnhtmcOh6RC890a
00000000,1wHZx0LgzFHyeIZkUydNXq
00000000,2iDjCLUOGhJtz5cPHljGVd
00000000,2Ih217RCGAmyQR68Nn7Cqo
00000000,7DbdUf8aHSYoliSjO6LZv6
00000000,4f7i5mGkpmjORhoN77kSch
00000000,2Uu8IiLkLY0UXhCHka4Dlr
00000000,3uqinR4FCjLv28bkrTdNX5
00000000,0DW5anNzTO7h0OlKqFsVQ6
00000000,6BdgtqiV3oXNqBikezwdvC
00000000,6or1bKJiZ06IlK0vFvY75k
00000000,43nXNMMmm8RIlKGusmya3b
00000000,3Ofmpyhv5UAQ70mENzB277
00000000,6YdzlsQcyXoWjAykR0rjj3
00000000,24YvUQnuPL8gObCfSnAobH
00000000,1Epb6Kfe3GTgKrrWs1Y4Wy
00000000,5qTvkDrSfvwDv6RBjjcfQr
00000000,2BMRUAA1oTc7e9JPlr6xbZ
00000000,6tDxrq4FxEL2q15y37tXT9
00000000,41Fflg7qHiVOD6dEPvsCzO
00000000,4Ade0IwkleaUD2X7uIdY0i
00000000,34I3bDyzo5pegaQysuQYx3
00000000,0shK5iZQppbHPQYiy60xs9
00000000,6QgkOxBXqVRjZ1JcIDbDYY
00000000,2MIBAmYwiuGoKUlpq9B9sZ
00000000,3JdyhQORbJkCWT8xfLd8gD
00000000,7bYKMJI4z6mApjLhv4hOBM
00000000,2fQ6sBFWaLv2Gxos4igHLy
00000000,1eL8wZKx7CVJVbZG12becL
00000000,5GPm7PsMQwceQvfYlGXcCt
00000000,5mu1uv8RmzDkF8foePK5qa
00000000,6WrI0LAC5M1Rw2MnX2ZvEg
00000000,591ks2A0o7ratTpiRdI7M6
00000000,5rXkgeY6rpcHcsolCpXZHR
00000000,5vpDsiVqiZLRwKAzQO708k
00000000,1pNN9kkePpNFl9LYeYZ5af
00000000,4MeDnO5yA2Zi6IMlVApRci
00000000,7rOIWUhSfjWh4E7443PYE8
00000000,4tIPgKJa5DVpJqu7GvH4gU
00000000,3JA9Jsuxr4xgHXEawAdCp4
00000000,0fGh0trRN1xz3s41r7V5ce
00000000,2bUojZta7GJTjGAqo064jo
00000001,3i1B1PnsfnOQPGVIzhf1lr
00000001,440JHgcmlgu65MbKBg20ba
00000001,50kpGaPAhYJ3sGmk6vplg0
00000001,6qUEOWqOzu1rLPUPQ1ECpx
00000001,0n4bITAu0Y0nigrz3MFJMb
00000001,68Hiprd6Ub4ifHFpUNNJns
00000001,6225vlQNgif1W5dE5KN6Y6
00000001,2K2nfIHU02JUJtzLvUx0ju
00000001,6bUNEbXT7HovLW6BgPCBsb
00000001,6xbraxG0bSBOuAr5IUXmtM
00000001,4JYUDRtPZuVNi7FAnbHyux
00000001,2BMRUAA1oTc7e9JPlr6xbZ
00000001,4dASQiO1Eoo3RJvt74FtXB
00000001,2ImuQo1g14CTR9hZAZD3aQ
00000001,20FZrLl9zSbO9b3DhaqO6M
00000001,0odHj0qIf86vHBsXB30IkZ
00000001,22irp40MtAAatGBNsWE3du
00000001,2L8cFPItBljPNJgPjTnuIf
00000001,27mhCGdAA8gM7b33KIiB3k
00000001,2MbdDtCv5LUVjYy9RuGTgC
00000002,2xTft6GEZeTyWNpdX94rkf
00000002,4sWuPniHClkInYAnzXAYUF
00000002,2iJuuzV8P9Yz0VSurttIV5
00000002,5vIu19A3EEdHgFM4Cba6F4
00000002,7t2bFihaDvhIrd2gn2CWJO
00000002,18vdhCWxqPohnPwicDi3Xr
00000002,1SWVDBtw6h3tm9OehOkDhv
00000002,4JPCdSaqs9dJd7RatFSHww
00000002,6UelLqGlWMcVH1E5c4H7lY
00000002,1akgiRM3mN2nxu2AX6ACCW
00000002,1gZ7i4qxXkHZb1r6eioaAP
00000002,6kL0m9YKOaMxdO0sgbeq5H
00000002,0uFvvXbmGIXlf5ZgtHyYpf
00000002,61LtVmmkGr8P9I2tSPvdpf
00000002,2npJP0YTkykkqjezhA1g8f
00000002,2OgGlK7DqGg86Z5uUxUgGg
00000002,5l4WHxaPQ4gVeGhYJQnsGr
00000002,5Rkbnhwkb6oiqq1HQcXirN
00000002,5kxddRG1RZaZROadk7iC4D
00000002,6HfOzLLjsaXsehIFEsrxTk
00000002,6M3tbJcqQDOrTE9EbataIr
00000002,73xXDeBMlC5cdvWoOLWVLo
00000002,1wHZx0LgzFHyeIZkUydNXq
00000002,5n4Ws20sveldU4wt5UT4Ej
00000002,6Y9kdB2O0h9gq9y2vclsWT
00000002,13jHiHnThQnn6TO4XE0gdh
00000002,1kEruIJPLnM1agV8bnCmSZ
00000002,0Ed7MeXx64f6OcIuoTRCg1
00000002,7FGvAPKP5rn0JnWn6qLqVP
00000002,0CAJdthKDdRjB2h8YOguN6
00000002,3GMR3hyv8BccozoebVMve3
00000002,6RtPijgfPKROxEzTHNRiDp
00000002,2XKNIzuVL2aOlzGUiPkctF
00000002,0lOe1dR2TNkJMCjIcRuw6T
00000002,3QRM0qZB7oMYavveH0iEqx
00000002,0HPD5WQqrq7wPWR7P7Dw1i
00000002,4o568kdkDntTDuQTJfMIxa
00000002,5PtMwNq8Dp31uYdGGacVJE
00000002,4tXA1TUmKvz7CbUT9LUHDx
00000002,3zkWCteF82vJwv0hRLba76
00000002,7J41dYQolQJEtj3UmKLu5r
00000002,2iclfHORMqpR3TxuhwVRhD
00000002,1ohwrBQrxIlqMYfkoYERiN
00000002,7Ezwtgfw7khBrpvaNPtMoT
00000003,06iMqWThw4w8fTFyccvOwr
00000003,7dt6x5M1jzdTEt8oCbisTK
00000003,7sJN693sYKEIEMu7fc5VnJ
00000003,0trHOzAhNpGCsGBEu7dOJo
00000003,41Fflg7qHiVOD6dEPvsCzO
00000003,4U5CjTT6uObhD2vwnD4zOF
00000003,7FGvAPKP5rn0JnWn6qLqVP
00000003,0F7rEdewJ6cSLylOZZpDu7
00000003,0LFcFGLYTX6UmeIdO7NVd7
00000003,5IweeQZdY5XEzStLzUJG5t
00000003,2BJSMvOGABRxokHKB0OI8i
00000003,0svl7cK07gK1ia5ainczU5
00000003,04fX3oTJm5Zucg3Uf9aix0
00000003,563vSy3HB5NHxel1VGQCW6
00000003,0qy5D3OJre7SPJNMOL9I71
00000003,5ljCWsDlSyJ41kwqym2ORw
00000003,4hEl2wrneFEJbJ6SDYWd2f
00000003,5uA5D9o5jGFuITTw3aXQgB
00000003,0gljI0CtjpdZK6ecidfxto
00000003,53GO7SC0UJhG8Rcuvf5Zub
00000003,6o3s08kk2fQI37vxGZDrJ1
00000003,7f1zjZG77S891Uv4O68yfk
00000004,32lItqlMi4LBhb4k0BaSaC
00000004,15qrWkkYCfmtu1uRpGf48L
00000004,27AHAtAirQapVldIm4c9ZX
00000004,4bUfMNNmiCmPXVyWzIfKeZ
00000004,2h2V4peAb0UQDMBAP2H9Ys
00000004,52IuMfbQa9aqRPz2oYPAI8
00000004,22irp40MtAAatGBNsWE3du
00000004,1G93i9ga7ZPEOqpiNhM1mq
00000004,2n5gVJ9fzeX2SSWlLQuyS9
00000004,00ko9WaS4jOX1kEk3gvHjf
00000004,2bBClS4zzrRd4Aj59NaKSv
00000004,4dASQiO1Eoo3RJvt74FtXB
00000004,13jHiHnThQnn6TO4XE0gdh
00000004,2Fxmhks0bxGSBdJ92vM42m
00000004,5F7IJrXD6Fa3EmqoYE0gU4
00000004,6fujklziTHa8uoM5OQSfIo
00000004,1XGmzt0PVuFgQYYnV2It7A
00000004,5XlYPZ7XNkWw4kxgZXM9wk
00000004,3JdyhQORbJkCWT8xfLd8gD
00000004,20LxTsa6936zOlzTWqoPVt
00000004,3ORfa5ilEthp2U0TRcv7kv
00000004,0DBIL8arX0Zo6eAuxNIpik
00000004,7EQGXaVSyEDsCWKmUcfpLk
00000004,6ndmKwWqMozN2tcZqzCX4K
00000004,6CN3e26iQSj1N5lomh0mfO
00000005,4zh5aVAWAKkeXTmXPkQ7uL
00000005,6h7PQQIUQSNSAWqRe98MBU
00000005,1xMPwgmLHVXkIFYL0rvGiZ
00000005,57rjJ54Tu3pXI2X4owPg51
00000005,7J41dYQolQJEtj3UmKLu5r
00000005,2c7H254xlKoGhmZT194C0T
00000005,68Hiprd6Ub4ifHFpUNNJns
00000005,0YkJU6TjjwzsVXUPRIO0DB
00000005,5yorXJWdBan1Vlh116ZtQ7
00000005,3c3uUUJUzIxnhynlz30dgV
00000005,39jxVaEhI8R7csdu7GAjmL
00000005,3TlFNLjRnslvF7Y5iS34ZA
00000005,1ixbwbeBi5ufN4noUKmW5a
00000005,4F0sMzz8L5EE8ly9o3evIq
00000005,4XHQyvbrBsQaaBUW1VvmsL
00000005,1PS1QMdUqOal0ai3Gt7sDQ
00000006,3c3uUUJUzIxnhynlz30dgV
00000006,2dxjKgT0li4qBI3QwuN9Ih
00000006,75ZvA4QfFiZvzhj2xkaWAh
00000006,0DW5anNzTO7h0OlKqFsVQ6
00000006,6or1bKJiZ06IlK0vFvY75k
00000006,6giYNaycmjkbf7UmZ6RGtL
00000006,2SuMoyOaAVBg5AzfKyZaKV
00000006,6dBQ5asGzaKH9313wBxvIz
00000006,5XlYPZ7XNkWw4kxgZXM9wk
00000006,6ndmKwWqMozN2tcZqzCX4K
00000006,1CdqVF1ywD0ZO1zXtB9yWa
00000006,343YBumqHu19cGoGARUTsd
00000007,0PT7nlpo11hYYyfnBgtilT
00000007,4ZnKSrukEcPuMxGrcZEEh1
00000007,6M47gaKejso9772SKTa3yH
00000007,3HkMNtOIciULbIrsxyl1mq
00000007,6BdgtqiV3oXNqBikezwdvC
00000007,0fGh0trRN1xz3s41r7V5ce
00000007,0RZXNlGPvfMo54fd6uCvAT
00000007,5rXkgeY6rpcHcsolCpXZHR
00000007,6o2g1BJvtYQssH84kBYs7y
00000007,57rjJ54Tu3pXI2X4owPg51
00000007,7xYnUQigPoIDAMPVK79NEq
00000007,4fzsfWzRhPawzqhX8Qt9F3
00000007,4hEl2wrneFEJbJ6SDYWd2f
00000007,3aGibUHhQyBsyumYHylw0K
00000007,6j9iyrrmqWlQZ5SD1hSTaq
00000007,463CkQjx2Zk1yXoBuierM9
00000007,7GX5flRQZVHRAGd6B4TmDO
00000007,0b8qcIPuFq77U6ifMUAVUP
