songid,songname,length,popularity
2UVbBKQOdFAekPTRsnkzcf,Stir Fry,190,75
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,312,84
4dVpf9jZjcORqGTLUaeYj9,Plain Jane,173,74
2bjwRfXMk4uRgOD9IBYl9h,Portland,236,71
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,177,85
0b9oOr2ZgvyQu88wzixux9,This Is America,225,68
5A6OHHy73AR5tLxgTc98zz,Black and Yellow,217,77
19gEmPjfqSZT0ulDRfjl0m,Hot N*gga,194,71
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,182,81
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert),343,0
5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),259,76
0TlLq3lA83rQOYtrqBqSct,Nonstop,238,78
7KOlJ92bu51cltsD9KU5I7,T-Shirt,242,0
6gBFPUFcJLzWGx4lenP6h2,goosebumps,243,87
6HZILIRieu8S0iqY8kIKhj,DNA.,185,80
60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),244,73
0ZNrc4kNeQYD9koZ3KvCsy,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",237,63
1nX9KhK3Fff27SnrIor2Yb,4 AM,255,63
53GO7SC0UJhG8Rcuvf5Zub,"Welcome to the Party (with Lil Pump, Juicy J, Famous Dex, & French Montana) - Remix",182,49
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),172,83
0wbnC9AUenxp613TYaJsGK,Narcos,255,68
4wFjTWCunQFKtukqrNijEt,MotorSport,303,69
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,183,78
2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky,203,76
2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,190,84
1wHZx0LgzFHyeIZkUydNXq,Antidote,262,74
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),180,77
2BJSMvOGABRxokHKB0OI8i,Shoota (feat. Lil Uzi Vert),153,77
5yuShbu70mtHXY0yLzCQLQ,Go Flex,179,77
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),228,79
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,213,81
63cd4JkwGgYJrbOizbfmsp,Pure Water (with Migos),194,1
62vpWI1CHwFy7tMIcSStl8,No Role Modelz,292,4
5274I4mUMnYczyeXkGDWZN,Fine China,141,70
5E9YnE354Ua2h05nu4lmcA,Graduation (with Juice WRLD),176,60
68Hiprd6Ub4ifHFpUNNJns,Problems (Remix feat. 24kGoldn),188,36
72PFP54TZ9Tpj9dYQcb46D,NIGHTRIDER,156,58
5DPASDOoVakOcD8EIhb46T,High Right Now (feat. Wiz Khalifa) - Remix,175,60
43nXNMMmm8RIlKGusmya3b,Player Way (feat. Wiz Khalifa),226,41
2K2nfIHU02JUJtzLvUx0ju,Cigarettes On Patios (with 24kGoldn) - Remix,206,42
2hx8cZug1bgRMXgW5RCTUV,"3, 2, 1",131,60
7yL4wdksHlDnmKvofxMTBE,A LOT TO LOSE,180,51
5rK0pyEObO4DBFLy682QvR,Mask Off - Marshmello Remix,179,60
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,239,84
6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane),304,1
1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,175,69
3SZqA7rQvROJsCbUu2v0xa,Go Loko,299,0
2gwkD6igEhQbDQegRCcdoB,Suge,163,68
7f1zjZG77S891Uv4O68yfk,Baby Sitter (feat. Offset),157,59
6xbraxG0bSBOuAr5IUXmtM,iSpy (feat. Lil Yachty),252,66
4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),181,4
3AEgic4yp82NxMWUjHtxnO,Uno,109,53
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),205,76
1kBbgxAUc4HQv7cgIayIDH,Ransom,131,0
4qikXelSRKvoCqFcHLB2H2,Mercy,329,70
6fTt0CH2t0mdeB2N9XFG5r,Panini,114,58
7floNISpH8VF4z4459Qo18,Look At Me!,126,80
5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),177,76
6onwlDmIVKE8bBgyBRSuS0,FRIENDS (feat. kiLL edward),257,54
5IjRKZlpKVBBRn0COL7pik,Stop Snitchin,149,54
1UMKquW1olreYO1LlLmTqi,Gas Pedal,208,66
23NWj2izXAJ4yL6Nah73wf,Pop Style,209,48
07rmSXN6vNoquX1AsWd9pP,Lalala,160,0
2n5gVJ9fzeX2SSWlLQuyS9,Fight Night,216,0
20MuVazoNMv6xjKPnRFOxG,WAKE UP,231,68
7tGlzXJv6GD5e5qlu5YmDg,Love Me,253,0
6tByydPskASjm9jTPkNQq0,Numb Numb Juice,107,65
4sWuPniHClkInYAnzXAYUF,Camelot,148,62
00ko9WaS4jOX1kEk3gvHjf,Hot Shower,225,58
5hTpBe8h35rJ67eAWHQsJx,Caroline,209,71
41uX0L4bro4KfKtDIIEFFe,FUN!,171,47
13jHiHnThQnn6TO4XE0gdh,Hope & Dope,103,23
6fujklziTHa8uoM5OQSfIo,Black Beatles,291,75
0wdKiSBUT7aZkXUIdJWcwC,2 Phones,240,69
5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz),196,76
6syOdAs4IK8kPWR7gDyjRw,Congratulations,220,0
7t2bFihaDvhIrd2gn2CWJO,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",242,80
2eMwDehkIC1j68U6FA3Eiq,XO TOUR Llif3,182,0
5eqK0tbzUPo2SoeZsov04s,Bank Account,220,77
1OmcAT5Y8eg5bUPv9qJT4R,rockstar,218,0
6foxplXS0YEq8cO374Lty4,Gucci Gang,124,44
4scpF6J5uMBvoh6sFB7EL1,No Type,200,71
7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),313,81
6REbwUNlppTfcnV4d4ZoZi,Swimming Pools (Drank),247,81
275a9yzwGB6ncAW4SxY7q3,Panda,247,66
6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,276,74
7dt6x5M1jzdTEt8oCbisTK,Better Now,231,81
3QybPutx0Tjk472bBKjNWn,Mo Bamba,180,0
6jmTHeoWvBaSrwWttr8Xvu,I Mean It (feat. Remo),236,68
5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),232,70
4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),127,72
